timestamp,target_aqi,pm25,pm10,temp,humidity,wind_speed,hour,day,month,day_of_week
2026-06-04 05:00:00+00:00,152,55,77,27.8,69,2,5,4,6,3
2026-06-04 04:00:00+00:00,153,57,81,27.7,69,4,4,4,6,3
2026-06-04 03:00:00+00:00,153,58,86,28.3,66,5,3,4,6,3
2026-06-04 02:00:00+00:00,154,56,84,28.9,63,7,2,4,6,3
2026-06-04 01:00:00+00:00,155,53,80,29.2,62,7,1,4,6,3
2026-06-04 00:00:00+00:00,155,52,79,29.6,61,8,0,4,6,3
2026-06-03 23:00:00+00:00,156,52,80,30.2,59,7,23,3,6,2
2026-06-03 22:00:00+00:00,156,53,82,31.0,56,6,22,3,6,2
2026-06-03 21:00:00+00:00,156,54,91,31.9,52,4,21,3,6,2
2026-06-03 20:00:00+00:00,157,56,94,32.8,49,3,20,3,6,2
2026-06-03 19:00:00+00:00,160,50,92,33.6,46,5,19,3,6,2
2026-06-03 18:00:00+00:00,168,50,100,34.3,43,8,18,3,6,2
2026-06-03 17:00:00+00:00,168,51,106,35.0,40,10,17,3,6,2
2026-06-03 16:00:00+00:00,162,54,112,35.6,36,8,16,3,6,2
2026-06-03 15:00:00+00:00,160,56,117,36.1,32,8,15,3,6,2
2026-06-03 14:00:00+00:00,160,58,123,36.7,30,9,14,3,6,2
2026-06-03 13:00:00+00:00,161,60,130,37.5,29,6,13,3,6,2
2026-06-03 12:00:00+00:00,162,63,134,38.5,28,3,12,3,6,2
2026-06-03 11:00:00+00:00,162,64,136,38.7,29,6,11,3,6,2
2026-06-03 10:00:00+00:00,163,65,137,37.5,32,6,10,3,6,2
2026-06-03 09:00:00+00:00,163,68,136,36.0,35,7,9,3,6,2
2026-06-03 08:00:00+00:00,163,73,129,33.7,42,5,8,3,6,2
2026-06-03 07:00:00+00:00,163,78,119,31.1,50,6,7,3,6,2
2026-06-03 06:00:00+00:00,162,82,122,29.4,55,7,6,3,6,2
2026-06-03 05:00:00+00:00,162,83,128,28.9,57,6,5,3,6,2
2026-06-03 04:00:00+00:00,162,82,126,29.3,55,4,4,3,6,2
2026-06-03 03:00:00+00:00,162,80,122,29.8,54,3,3,3,6,2
2026-06-03 02:00:00+00:00,162,78,121,30.2,54,3,2,3,6,2
2026-06-03 01:00:00+00:00,162,77,124,30.4,54,4,1,3,6,2
2026-06-03 00:00:00+00:00,162,77,129,31.0,53,2,0,3,6,2
2026-06-02 23:00:00+00:00,162,77,139,31.7,49,4,23,2,6,1
2026-06-02 22:00:00+00:00,163,73,135,32.4,47,4,22,2,6,1
2026-06-02 21:00:00+00:00,165,72,136,33.3,43,4,21,2,6,1
2026-06-02 20:00:00+00:00,184,81,163,34.5,38,5,20,2,6,1
2026-06-02 19:00:00+00:00,198,77,178,35.5,35,3,19,2,6,1
2026-06-02 18:00:00+00:00,201,76,193,35.9,33,9,18,2,6,1
